ticker
BBCA
BBRI
BMRI
BBNI
TLKM
ASII
UNVR
ICBP
INDF
KLBF
ADRO
ITMG
PTBA
ANTM
INCO
BSDE
PWON
SMGR
WIKA
PTPP
